density,canopy,simulation,plantNb,organ_type,age_in_degree_days_dd of plant,age_in_days_d of plant,Organ_ID,rank,order,absorbedPAR [umol s^-1],dry_biomass_mg[mg],dry_biomass_growth_mg for dynamic,area_m2[m^2],area_m2 of just blades (not segments),SLA
High,experiment,Sim1,1,4,0,0,organs.Leaf[id=439678]@5ebe5792,2,0,0.002693198,0,0,0.0017783,0.0017,0
High,experiment,Sim1,1,4,0,0,organs.Leaf[id=439679]@39dd18d9,2,0,0.002550057,0,0,0.00178175,0.0017,0
High,experiment,Sim1,1,4,0,0,organs.Leaf[id=439685]@1ed9d8d2,3,0,0.010704944,0,0,0.006200289,0.006,0
High,experiment,Sim1,1,4,0,0,organs.Leaf[id=439691]@7b958c70,4,0,0.04040866,0,0,0.007347007,0.0071,0
High,experiment,Sim1,1,4,0,0,organs.Leaf[id=439697]@666cc516,5,0,0.096955482,0,0,0.007765469,0.0075,0
High,experiment,Sim1,1,4,0,0,organs.Leaf[id=439703]@449d4c65,6,0,0.131617316,0,0,0.008647616,0.0084,0
High,experiment,Sim1,1,4,0,0,organs.Leaf[id=439709]@e40397b,7,0,0.246928377,0,0,0.006855323,0.0066,0
High,experiment,Sim1,1,4,0,0,organs.Leaf[id=439715]@ee5ae72,8,0,0.155757546,0,0,0.005044047,0.0048,0
High,experiment,Sim1,1,4,0,0,organs.Leaf[id=439721]@6b93846b,9,0,0.066273709,0,0,0.001851795,0.0017,0
High,experiment,Sim1,1,4,0,0,organs.Leaf[id=439727]@5d42d6de,10,0,0.02139973,0,0,0.000452,0.0004,0
High,experiment,Sim1,2,4,0,0,organs.Leaf[id=439739]@248ea9d3,2,0,0.006367324,0,0,0.001801127,0.0017,0
High,experiment,Sim1,2,4,0,0,organs.Leaf[id=439740]@5f19d536,2,0,0.003484866,0,0,0.001781561,0.0017,0
High,experiment,Sim1,2,4,0,0,organs.Leaf[id=439746]@5f6db7ae,3,0,0.04131573,0,0,0.006177705,0.006,0
High,experiment,Sim1,2,4,0,0,organs.Leaf[id=439752]@2ad92509,4,0,0.018470184,0,0,0.007295664,0.0071,0
High,experiment,Sim1,2,4,0,0,organs.Leaf[id=439758]@49aaea9,5,0,0.054465273,0,0,0.007768753,0.0075,0
High,experiment,Sim1,2,4,0,0,organs.Leaf[id=439764]@164c11d8,6,0,0.23017042,0,0,0.008609992,0.0084,0
High,experiment,Sim1,2,4,0,0,organs.Leaf[id=439770]@1a63bc4,7,0,0.168537017,0,0,0.006783419,0.0066,0
High,experiment,Sim1,2,4,0,0,organs.Leaf[id=439776]@433821de,8,0,0.270096291,0,0,0.00494933,0.0048,0
High,experiment,Sim1,2,4,0,0,organs.Leaf[id=439782]@3f3021a9,9,0,0.035846447,0,0,0.001754555,0.0017,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439794]@63cc8b4a,2,0,0.001297615,0,0,0.00176185,0.0017,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439795]@5180b230,2,0,0.003607747,0,0,0.001783295,0.0017,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439801]@22d4fc90,3,0,0.012009209,0,0,0.006138049,0.006,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439807]@11f00555,4,0,0.050216707,0,0,0.007355726,0.0071,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439813]@679f508b,5,0,0.059676998,0,0,0.007734599,0.0075,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439819]@39cad760,6,0,0.11617119,0,0,0.008569304,0.0084,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439825]@3031ae13,7,0,0.09349018,0,0,0.006811618,0.0066,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439831]@61d916b1,8,0,0.086552812,0,0,0.004981026,0.0048,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439837]@74842377,9,0,0.119559996,0,0,0.0018778,0.0017,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439843]@7821cbde,10,0,0.027113237,0,0,0.000458,0.0004,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439849]@e73f477,11,0,0.025788829,0,0,0.000386,0.0003,0
High,experiment,Sim1,4,4,0,0,organs.Leaf[id=439861]@4ab18bcc,2,0,0.007460688,0,0,0.001779501,0.0017,0
High,experiment,Sim1,4,4,0,0,organs.Leaf[id=439862]@5f3a251d,2,0,0.005241593,0,0,0.001763852,0.0017,0
High,experiment,Sim1,4,4,0,0,organs.Leaf[id=439868]@102de2f9,3,0,0.013141777,0,0,0.006172149,0.006,0
High,experiment,Sim1,4,4,0,0,organs.Leaf[id=439874]@49f0a8ac,4,0,0.058339349,0,0,0.007315411,0.0071,0
High,experiment,Sim1,4,4,0,0,organs.Leaf[id=439880]@2692c533,5,0,0.048810909,0,0,0.007718313,0.0075,0
High,experiment,Sim1,4,4,0,0,organs.Leaf[id=439886]@64f83c76,6,0,0.118170221,0,0,0.008661971,0.0084,0
High,experiment,Sim1,4,4,0,0,organs.Leaf[id=439892]@13f8775b,7,0,0.272348053,0,0,0.006854309,0.0066,0
High,experiment,Sim1,4,4,0,0,organs.Leaf[id=439898]@7f719f61,8,0,0.184755825,0,0,0.004989347,0.0048,0
High,experiment,Sim1,4,4,0,0,organs.Leaf[id=439904]@5f26b999,9,0,0.086164866,0,0,0.001859107,0.0017,0
High,experiment,Sim1,5,4,0,0,organs.Leaf[id=439916]@576542ef,2,0,0.002387413,0,0,0.001768917,0.0017,0
High,experiment,Sim1,5,4,0,0,organs.Leaf[id=439917]@34a109d9,2,0,0.002675234,0,0,0.001776471,0.0017,0
High,experiment,Sim1,5,4,0,0,organs.Leaf[id=439923]@7ec22328,3,0,0.005603767,0,0,0.006237779,0.006,0
High,experiment,Sim1,5,4,0,0,organs.Leaf[id=439929]@5546368d,4,0,0.021330321,0,0,0.007321383,0.0071,0
High,experiment,Sim1,5,4,0,0,organs.Leaf[id=439935]@383ed56a,5,0,0.027536828,0,0,0.007722652,0.0075,0
High,experiment,Sim1,5,4,0,0,organs.Leaf[id=439941]@c8ceeed,6,0,0.055222158,0,0,0.008650764,0.0084,0
High,experiment,Sim1,5,4,0,0,organs.Leaf[id=439947]@1d5520b2,7,0,0.172442044,0,0,0.006844789,0.0066,0
High,experiment,Sim1,5,4,0,0,organs.Leaf[id=439953]@44ed90e9,8,0,0.123566618,0,0,0.005005885,0.0048,0
High,experiment,Sim1,5,4,0,0,organs.Leaf[id=439959]@620ec91d,9,0,0.054048756,0,0,0.001920749,0.0017,0
High,experiment,Sim1,6,4,0,0,organs.Leaf[id=439971]@454c7882,2,0,0.005221581,0,0,0.001793898,0.0017,0
High,experiment,Sim1,6,4,0,0,organs.Leaf[id=439972]@21dc07c4,2,0,0.002227579,0,0,0.001775294,0.0017,0
High,experiment,Sim1,6,4,0,0,organs.Leaf[id=439978]@61116b06,3,0,0.013493914,0,0,0.006210795,0.006,0
High,experiment,Sim1,6,4,0,0,organs.Leaf[id=439984]@5abc2cbe,4,0,0.008920589,0,0,0.007349744,0.0071,0
High,experiment,Sim1,6,4,0,0,organs.Leaf[id=439990]@5e915a29,5,0,0.063058035,0,0,0.007780351,0.0075,0
High,experiment,Sim1,6,4,0,0,organs.Leaf[id=439996]@833f39,6,0,0.13181688,0,0,0.008615392,0.0084,0
High,experiment,Sim1,6,4,0,0,organs.Leaf[id=440002]@6a94585,7,0,0.234495506,0,0,0.006828301,0.0066,0
High,experiment,Sim1,6,4,0,0,organs.Leaf[id=440008]@103bfb21,8,0,0.137392762,0,0,0.004972757,0.0048,0
High,experiment,Sim1,6,4,0,0,organs.Leaf[id=440014]@290454ea,9,0,0.101221608,0,0,0.00194147,0.0017,0
High,canopyA,Sim1,1,4,0,0,organs.Leaf[id=443270]@650c07c4,2,0,0.002182989,0,0,0.001770017,0.0017,0
High,canopyA,Sim1,1,4,0,0,organs.Leaf[id=443271]@7596eb73,2,0,0.002418659,0,0,0.001780934,0.0017,0
High,canopyA,Sim1,1,4,0,0,organs.Leaf[id=443277]@1e5fffa4,3,0,0.011621782,0,0,0.006147356,0.006,0
High,canopyA,Sim1,1,4,0,0,organs.Leaf[id=443283]@24ae3e34,4,0,0.011657928,0,0,0.007315365,0.0071,0
High,canopyA,Sim1,1,4,0,0,organs.Leaf[id=443289]@3ddbb0be,5,0,0.05501209,0,0,0.007741152,0.0075,0
High,canopyA,Sim1,1,4,0,0,organs.Leaf[id=443295]@5407a1e9,6,0,0.16346319,0,0,0.008637419,0.0084,0
High,canopyA,Sim1,1,4,0,0,organs.Leaf[id=443301]@43c7f1e3,7,0,0.167538844,0,0,0.006810042,0.0066,0
High,canopyA,Sim1,1,4,0,0,organs.Leaf[id=443307]@67307fe0,8,0,0.158576705,0,0,0.004992111,0.0048,0
High,canopyA,Sim1,1,4,0,0,organs.Leaf[id=443313]@55ccf3d2,9,0,0.08465457,0,0,0.001957687,0.0017,0
High,canopyA,Sim1,2,4,0,0,organs.Leaf[id=443325]@3ff7979e,2,0,0.00097781,0,0,0.00177994,0.0017,0
High,canopyA,Sim1,2,4,0,0,organs.Leaf[id=443326]@3dfd7f9f,2,0,0.001502943,0,0,0.001775118,0.0017,0
High,canopyA,Sim1,2,4,0,0,organs.Leaf[id=443332]@4a60ea53,3,0,0.005722439,0,0,0.006193876,0.006,0
High,canopyA,Sim1,2,4,0,0,organs.Leaf[id=443338]@1585e418,4,0,0.027998824,0,0,0.007330918,0.0071,0
High,canopyA,Sim1,2,4,0,0,organs.Leaf[id=443344]@5d8d1197,5,0,0.039983424,0,0,0.00772997,0.0075,0
High,canopyA,Sim1,2,4,0,0,organs.Leaf[id=443350]@156557be,6,0,0.21246885,0,0,0.008636009,0.0084,0
High,canopyA,Sim1,2,4,0,0,organs.Leaf[id=443356]@a49be15,7,0,0.11340955,0,0,0.006871707,0.0066,0
High,canopyA,Sim1,2,4,0,0,organs.Leaf[id=443362]@6a1ee150,8,0,0.232632667,0,0,0.004983164,0.0048,0
High,canopyA,Sim1,2,4,0,0,organs.Leaf[id=443368]@d0e7313,9,0,0.104946904,0,0,0.001928522,0.0017,0
High,canopyA,Sim1,2,4,0,0,organs.Leaf[id=443374]@1037c657,10,0,0.024446634,0,0,0.00046741,0.0004,0
High,canopyA,Sim1,3,4,0,0,organs.Leaf[id=443391]@6a019243,2,0,0.003985147,0,0,0.001787575,0.0017,0
High,canopyA,Sim1,3,4,0,0,organs.Leaf[id=443392]@766d8c8c,2,0,0.005329224,0,0,0.001766107,0.0017,0
High,canopyA,Sim1,3,4,0,0,organs.Leaf[id=443398]@710175c4,3,0,0.007464174,0,0,0.006161427,0.006,0
High,canopyA,Sim1,3,4,0,0,organs.Leaf[id=443404]@4aa35ce5,4,0,0.038689178,0,0,0.007354356,0.0071,0
High,canopyA,Sim1,3,4,0,0,organs.Leaf[id=443410]@78c1921c,5,0,0.052664371,0,0,0.007755454,0.0075,0
High,canopyA,Sim1,3,4,0,0,organs.Leaf[id=443416]@5a889a53,6,0,0.229678297,0,0,0.008615485,0.0084,0
High,canopyA,Sim1,3,4,0,0,organs.Leaf[id=443422]@2eff80e3,7,0,0.176990729,0,0,0.006807635,0.0066,0
High,canopyA,Sim1,3,4,0,0,organs.Leaf[id=443428]@764abd6e,8,0,0.214949919,0,0,0.004948357,0.0048,0
High,canopyA,Sim1,3,4,0,0,organs.Leaf[id=443434]@4bb2a7f2,9,0,0.100659559,0,0,0.001797837,0.0017,0
High,canopyA,Sim1,4,4,0,0,organs.Leaf[id=443446]@1ca3eed8,2,0,0.004492436,0,0,0.001772709,0.0017,0
High,canopyA,Sim1,4,4,0,0,organs.Leaf[id=443447]@15a45e41,2,0,0.000694429,0,0,0.001770395,0.0017,0
High,canopyA,Sim1,4,4,0,0,organs.Leaf[id=443453]@3a086b9c,3,0,0.006447413,0,0,0.006159036,0.006,0
High,canopyA,Sim1,4,4,0,0,organs.Leaf[id=443459]@c430398,4,0,0.005804055,0,0,0.007362146,0.0071,0
High,canopyA,Sim1,4,4,0,0,organs.Leaf[id=443465]@4e76c535,5,0,0.047555427,0,0,0.007773586,0.0075,0
High,canopyA,Sim1,4,4,0,0,organs.Leaf[id=443471]@388f198,6,0,0.028428877,0,0,0.00864759,0.0084,0
High,canopyA,Sim1,4,4,0,0,organs.Leaf[id=443477]@656ee39e,7,0,0.068851929,0,0,0.006901903,0.0066,0
High,canopyA,Sim1,4,4,0,0,organs.Leaf[id=443483]@174ae24c,8,0,0.181986145,0,0,0.004973835,0.0048,0
High,canopyA,Sim1,4,4,0,0,organs.Leaf[id=443489]@53db1b98,9,0,0.097825064,0,0,0.001859284,0.0017,0
High,canopyA,Sim1,5,4,0,0,organs.Leaf[id=443501]@4c1367c4,2,0,0.008323737,0,0,0.001780762,0.0017,0
High,canopyA,Sim1,5,4,0,0,organs.Leaf[id=443502]@13811a6e,2,0,0.003718784,0,0,0.001784085,0.0017,0
High,canopyA,Sim1,5,4,0,0,organs.Leaf[id=443508]@4a83f61f,3,0,0.017407743,0,0,0.00618975,0.006,0
High,canopyA,Sim1,5,4,0,0,organs.Leaf[id=443514]@7d62553a,4,0,0.071068139,0,0,0.00734318,0.0071,0
High,canopyA,Sim1,5,4,0,0,organs.Leaf[id=443520]@2ea846d6,5,0,0.117116486,0,0,0.007748931,0.0075,0
High,canopyA,Sim1,5,4,0,0,organs.Leaf[id=443526]@11f7ad02,6,0,0.102965928,0,0,0.008620067,0.0084,0
High,canopyA,Sim1,5,4,0,0,organs.Leaf[id=443532]@684e8d03,7,0,0.169313379,0,0,0.006797376,0.0066,0
High,canopyA,Sim1,5,4,0,0,organs.Leaf[id=443538]@4f319f6,8,0,0.224690026,0,0,0.004914565,0.0048,0
High,canopyA,Sim1,5,4,0,0,organs.Leaf[id=443544]@1055b996,9,0,0.098139356,0,0,0.001821099,0.0017,0
High,canopyA,Sim1,6,4,0,0,organs.Leaf[id=443556]@2d59aa05,2,0,0.001716846,0,0,0.001784772,0.0017,0
High,canopyA,Sim1,6,4,0,0,organs.Leaf[id=443557]@6c72eaa2,2,0,0.002613389,0,0,0.001785625,0.0017,0
High,canopyA,Sim1,6,4,0,0,organs.Leaf[id=443563]@1e06a532,3,0,0.011304381,0,0,0.006136232,0.006,0
High,canopyA,Sim1,6,4,0,0,organs.Leaf[id=443569]@23ec40c6,4,0,0.017384284,0,0,0.007346791,0.0071,0
High,canopyA,Sim1,6,4,0,0,organs.Leaf[id=443575]@71cbfb71,5,0,0.111062935,0,0,0.007849951,0.0075,0
High,canopyA,Sim1,6,4,0,0,organs.Leaf[id=443581]@33e5e0bc,6,0,0.173548159,0,0,0.008618611,0.0084,0
High,canopyA,Sim1,6,4,0,0,organs.Leaf[id=443587]@5095fa35,7,0,0.245864572,0,0,0.006849358,0.0066,0
High,canopyA,Sim1,6,4,0,0,organs.Leaf[id=443593]@33ba4c48,8,0,0.216132145,0,0,0.004985379,0.0048,0
High,canopyA,Sim1,6,4,0,0,organs.Leaf[id=443599]@69e068b5,9,0,0.090570056,0,0,0.001873183,0.0017,0
High,canopyB,Sim1,1,4,0,0,organs.Leaf[id=441472]@6c3bcb38,2,0,0.003179632,0,0,0.001780665,0.0017,0
High,canopyB,Sim1,1,4,0,0,organs.Leaf[id=441473]@3c094e52,2,0,0.004571248,0,0,0.001773789,0.0017,0
High,canopyB,Sim1,1,4,0,0,organs.Leaf[id=441479]@454b3268,3,0,0.031462787,0,0,0.00618336,0.006,0
High,canopyB,Sim1,1,4,0,0,organs.Leaf[id=441485]@73e34ae1,4,0,0.022062123,0,0,0.007290325,0.0071,0
High,canopyB,Sim1,1,4,0,0,organs.Leaf[id=441491]@7e399b98,5,0,0.061308149,0,0,0.007737008,0.0075,0
High,canopyB,Sim1,1,4,0,0,organs.Leaf[id=441497]@3732bfa9,6,0,0.067051436,0,0,0.008622356,0.0084,0
High,canopyB,Sim1,1,4,0,0,organs.Leaf[id=441503]@644ebf67,7,0,0.24480287,0,0,0.006836046,0.0066,0
High,canopyB,Sim1,1,4,0,0,organs.Leaf[id=441509]@45a9942c,8,0,0.133029823,0,0,0.004957332,0.0048,0
High,canopyB,Sim1,1,4,0,0,organs.Leaf[id=441515]@348d4bf5,9,0,0.054662331,0,0,0.001770312,0.0017,0
High,canopyB,Sim1,2,4,0,0,organs.Leaf[id=441532]@7f05163b,2,0,0.004092562,0,0,0.001796596,0.0017,0
High,canopyB,Sim1,2,4,0,0,organs.Leaf[id=441533]@43361cc4,2,0,0.005095949,0,0,0.001770456,0.0017,0
High,canopyB,Sim1,2,4,0,0,organs.Leaf[id=441539]@5bf86cd3,3,0,0.02378448,0,0,0.006183069,0.006,0
High,canopyB,Sim1,2,4,0,0,organs.Leaf[id=441545]@2a31f724,4,0,0.038536152,0,0,0.007338769,0.0071,0
High,canopyB,Sim1,2,4,0,0,organs.Leaf[id=441551]@323b8101,5,0,0.103290394,0,0,0.007707971,0.0075,0
High,canopyB,Sim1,2,4,0,0,organs.Leaf[id=441557]@f5c4571,6,0,0.16943462,0,0,0.008622308,0.0084,0
High,canopyB,Sim1,2,4,0,0,organs.Leaf[id=441563]@11b57e90,7,0,0.301591559,0,0,0.006839747,0.0066,0
High,canopyB,Sim1,2,4,0,0,organs.Leaf[id=441569]@6731f056,8,0,0.240457677,0,0,0.00500463,0.0048,0
High,canopyB,Sim1,2,4,0,0,organs.Leaf[id=441575]@43fbf683,9,0,0.118577804,0,0,0.001776828,0.0017,0
High,canopyB,Sim1,3,4,0,0,organs.Leaf[id=441587]@8607111,2,0,0.003679436,0,0,0.001780255,0.0017,0
High,canopyB,Sim1,3,4,0,0,organs.Leaf[id=441588]@5fbecb8a,2,0,0.001600196,0,0,0.001768216,0.0017,0
High,canopyB,Sim1,3,4,0,0,organs.Leaf[id=441594]@345e0ef4,3,0,0.017532396,0,0,0.006167886,0.006,0
High,canopyB,Sim1,3,4,0,0,organs.Leaf[id=441600]@ae9253b,4,0,0.043252595,0,0,0.0073014,0.0071,0
High,canopyB,Sim1,3,4,0,0,organs.Leaf[id=441606]@2e1717aa,5,0,0.028868658,0,0,0.007702157,0.0075,0
High,canopyB,Sim1,3,4,0,0,organs.Leaf[id=441612]@35f46286,6,0,0.197961425,0,0,0.00861751,0.0084,0
High,canopyB,Sim1,3,4,0,0,organs.Leaf[id=441618]@83224d2,7,0,0.275910331,0,0,0.006836632,0.0066,0
High,canopyB,Sim1,3,4,0,0,organs.Leaf[id=441624]@38243a2c,8,0,0.165295636,0,0,0.004900419,0.0048,0
High,canopyB,Sim1,3,4,0,0,organs.Leaf[id=441630]@306a7fd9,9,0,0.125317582,0,0,0.001784604,0.0017,0
High,canopyB,Sim1,4,4,0,0,organs.Leaf[id=441657]@455bbf7a,2,0,0.001699776,0,0,0.00178251,0.0017,0
High,canopyB,Sim1,4,4,0,0,organs.Leaf[id=441658]@ec1f974,2,0,0.001518495,0,0,0.001774903,0.0017,0
High,canopyB,Sim1,4,4,0,0,organs.Leaf[id=441664]@5b751222,3,0,0.008582629,0,0,0.00618111,0.006,0
High,canopyB,Sim1,4,4,0,0,organs.Leaf[id=441670]@7cdf0e17,4,0,0.023733887,0,0,0.007335371,0.0071,0
High,canopyB,Sim1,4,4,0,0,organs.Leaf[id=441676]@79659711,5,0,0.083386379,0,0,0.007769877,0.0075,0
High,canopyB,Sim1,4,4,0,0,organs.Leaf[id=441682]@76f84bfa,6,0,0.189053284,0,0,0.008601756,0.0084,0
High,canopyB,Sim1,4,4,0,0,organs.Leaf[id=441688]@368657ac,7,0,0.184726497,0,0,0.006851538,0.0066,0
High,canopyB,Sim1,4,4,0,0,organs.Leaf[id=441694]@35517777,8,0,0.190252202,0,0,0.005026469,0.0048,0
High,canopyB,Sim1,4,4,0,0,organs.Leaf[id=441700]@50a0d5a0,9,0,0.031674717,0,0,0.001878094,0.0017,0
High,canopyB,Sim1,4,4,0,0,organs.Leaf[id=441706]@7ef20b93,10,0,0.039587741,0,0,0.000490667,0.0004,0
High,canopyB,Sim1,5,4,0,0,organs.Leaf[id=441718]@1e51331,2,0,0.002759972,0,0,0.001775769,0.0017,0
High,canopyB,Sim1,5,4,0,0,organs.Leaf[id=441719]@b7a2134,2,0,0.002621767,0,0,0.001786922,0.0017,0
High,canopyB,Sim1,5,4,0,0,organs.Leaf[id=441725]@4eff0be8,3,0,0.009466557,0,0,0.006197745,0.006,0
High,canopyB,Sim1,5,4,0,0,organs.Leaf[id=441731]@3a289b32,4,0,0.04809151,0,0,0.007347032,0.0071,0
High,canopyB,Sim1,5,4,0,0,organs.Leaf[id=441737]@244c398,5,0,0.069859993,0,0,0.007740967,0.0075,0
High,canopyB,Sim1,5,4,0,0,organs.Leaf[id=441743]@1ce9462,6,0,0.01930823,0,0,0.008614539,0.0084,0
High,canopyB,Sim1,5,4,0,0,organs.Leaf[id=441749]@6fefcf00,7,0,0.210007668,0,0,0.006848769,0.0066,0
High,canopyB,Sim1,5,4,0,0,organs.Leaf[id=441755]@3848b97a,8,0,0.085684704,0,0,0.004949003,0.0048,0
High,canopyB,Sim1,5,4,0,0,organs.Leaf[id=441761]@451c46d1,9,0,0.07900966,0,0,0.00184524,0.0017,0
High,canopyB,Sim1,6,4,0,0,organs.Leaf[id=441773]@12e30136,2,0,0.003747095,0,0,0.001773833,0.0017,0
High,canopyB,Sim1,6,4,0,0,organs.Leaf[id=441774]@1fcd8bf,2,0,0.005371337,0,0,0.001760276,0.0017,0
High,canopyB,Sim1,6,4,0,0,organs.Leaf[id=441780]@4c958a14,3,0,0.021521722,0,0,0.006213948,0.006,0
High,canopyB,Sim1,6,4,0,0,organs.Leaf[id=441786]@1a9bf9b2,4,0,0.102788311,0,0,0.00733602,0.0071,0
High,canopyB,Sim1,6,4,0,0,organs.Leaf[id=441792]@165b0249,5,0,0.030546705,0,0,0.007713569,0.0075,0
High,canopyB,Sim1,6,4,0,0,organs.Leaf[id=441798]@13acca18,6,0,0.042616272,0,0,0.008641184,0.0084,0
High,canopyB,Sim1,6,4,0,0,organs.Leaf[id=441804]@62808548,7,0,0.037825512,0,0,0.006863642,0.0066,0
High,canopyB,Sim1,6,4,0,0,organs.Leaf[id=441810]@17ac4810,8,0,0.131998726,0,0,0.004972825,0.0048,0
High,canopyB,Sim1,6,4,0,0,organs.Leaf[id=441816]@5e266a0a,9,0,0.035924444,0,0,0.001897114,0.0017,0
Low,experiment,Sim1,1,4,0,0,organs.Leaf[id=434419]@5e31d962,2,0,0.002012166,0,0,0.001789824,0.0017,0
Low,experiment,Sim1,1,4,0,0,organs.Leaf[id=434420]@d7490fa,2,0,0.003995475,0,0,0.001775917,0.0017,0
Low,experiment,Sim1,1,4,0,0,organs.Leaf[id=434426]@1454641c,3,0,0.024739169,0,0,0.006165228,0.006,0
Low,experiment,Sim1,1,4,0,0,organs.Leaf[id=434432]@799140bb,4,0,0.050102026,0,0,0.007305478,0.0071,0
Low,experiment,Sim1,1,4,0,0,organs.Leaf[id=434438]@65015e81,5,0,0.082263423,0,0,0.007771637,0.0075,0
Low,experiment,Sim1,1,4,0,0,organs.Leaf[id=434444]@6326ce52,6,0,0.148895339,0,0,0.008596645,0.0084,0
Low,experiment,Sim1,1,4,0,0,organs.Leaf[id=434450]@69aa66d,7,0,0.071499148,0,0,0.006800153,0.0066,0
Low,experiment,Sim1,1,4,0,0,organs.Leaf[id=434456]@7bb37fe1,8,0,0.083009014,0,0,0.00503081,0.0048,0
Low,experiment,Sim1,1,4,0,0,organs.Leaf[id=434462]@5920ca49,9,0,0.091452994,0,0,0.001840379,0.0017,0
